Sector,SIC code,Description,Industry,,,Priorities,DfT Integrated Transport Strategy,,,,,Policy priorities of Maritime Decarbonisation Strategy
Financial Services ,,N/A,credit unions,,,,,,,,,
Financial Services ,,N/A,insurance companies,,,,,,,,,
Financial Services ,,N/A,investment firms,,,,,,,,,
Financial Services ,,N/A,asset management companies,,,,,,,,,
Financial Services ,,N/A,capital markets,,,,,,,,,
Financial Services ,,N/A,hedge funds,,,,,,,,,
Financial Services ,,N/A,financial technology firms,,,,,,,,,
Financial Services ,,N/A,private equity firms,,,,,,,,,
Financial Services ,,N/A,real estate companies,,,,,,,,,
Life Sciences ,21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,BioPharma,,,,,,,,,
Life Sciences ,266,"Manufacture of irradiation, electromedical, and electrotherapeutic equipment",MedTech,,,,,,,,,
Life Sciences ,325,Manufacture of medical and dental instruments and supplies,,,,,,,,,,
Life Sciences ,7211,Research and experimental development on biotechnology,,,,,,,,,,
Professional and Business Service,69,Legal and accounting activities,,,,,,,,,,
Professional and Business Service,70,Activities of head offices; management consultancy activities,,,,,,,,,,
Professional and Business Service,71,Architectural and engineering activities; technical testing and analysis,,,,,,,,,,
Professional and Business Service,72,Scientific research and development,,,,,,,,,,
Professional and Business Service,73,Advertising and market research,,,,,,,,,,
Professional and Business Service,74,"Other professional, scientific, and technical activities",,,,,,,,,,
Professional and Business Service,77,Rental and leasing activities,,,,,,,,,,
Professional and Business Service,78,Employment activities,,,,,,,,,,
Professional and Business Service,82,"Office administrative, office support, and other business support activities",,,,,,,,,,
Professional and Business Service,692,"Accounting, bookkeeping, and auditing activities; tax consultancy","Accounting, audit and tax consultancy ",,,,,,,,,
Professional and Business Service,691,Legal activities,Legal services,,,,,,,,,
Professional and Business Service,702,Management consultancy activities,Management consultancy,,,,,,,,,
Foundational industries and inputs,20,Manufacture of chemicals and chemical products,Chemicals,"The mining, refining, midstream processing/early manufacturing, and recycling of critical minerals.",,,,,,,,
Foundational industries and inputs,2319,"Manufacture and processing of other glass, including technical glassware",Composites,Manufacture of glass fibres and carbon fibres.,,,,,,,,
Foundational industries and inputs,2399,Manufacture of other non-metallic mineral products not elsewhere classified,Composites,,,,,,,,,
Foundational industries and inputs,41,Construction of buildings,Construction,,,,,,,,,
Foundational industries and inputs,42,Civil engineering,Construction,,,,,,,,,
Foundational industries and inputs,43,Specialised construction activities,Construction,,,,,,,,,
Foundational industries and inputs,3512,Transmission of electricity,Electricity networks,"Transmission and distribution of electricity, as a foundational industry providing critical inputs and infrastructure in the Industrial Strategy. ",,,,,,,,
Foundational industries and inputs,3513,Distribution of electricity,Electricity networks,,,,,,,,,
Foundational industries and inputs,231,Manufacture of glass and glass products,Materials,,,,,,,,,
Foundational industries and inputs,232,Manufacture of refractory products,Materials,,,,,,,,,
Foundational industries and inputs,233,Manufacture of clay building materials,Materials,,,,,,,,,
Foundational industries and inputs,234,Manufacture of other porcelain and ceramic products,Materials,,,,,,,,,
Foundational industries and inputs,235,"Manufacture of cement, lime, and plaster",Materials,,,,,,,,,
Foundational industries and inputs,236,"Manufacture of articles of concrete, cement, and plaster",Materials,,,,,,,,,
Foundational industries and inputs,52101,Operation of warehousing and storage facilities for water transport activities,Ports,,,,,,,,,
Foundational industries and inputs,5222,Service activities incidental to water transportation,Ports,,,,,,,,,
Foundational industries and inputs,52241,Cargo handling for water transport activities,Ports,,,,,,,,,
Foundational industries and inputs,241,Manufacture of basic iron and steel and of ferro-alloys,Steel,,,,,,,,,
Foundational industries and inputs,242,"Manufacture of tubes, pipes, hollow profiles, and related fittings of steel",Steel,,,,,,,,,
Foundational industries and inputs,243,Manufacture of other products of first processing of steel,Steel,,,,,,,,,
